"","Region.x","Date","Category","Subcategory","Dollars","Dollars_last_year","Unit_sales","Unit_sales_last_year","Volume_sales","Volume_sales_last_year","Share","Share_last_year","Percent_change_dollars_1_year","Percent_change_units_1_year","Percent_change_volume_1_year","Percent_change_share_1_year","Stringency","Economic_Support","Cases","Region.y","population","Cases_per_100000","Dollars_per_100000","Unit_sales_per_100000","Volume_sales_per_100000"
"1","US",2019-10-06,"Alcohol","Other",1150829004,1104600595,150101757,145532385,34277278,33641164,8.8,8.6,4.2,3.1,1.9,2.5,0,0,0,"US",331066000,0,347613.165954825,45338.9224505084,10353.6086460102
"2","US",2019-10-06,"All foods","All foods",13043274747,12832064544,4473321014,4502907925,19972815760,19768721040,100,100,1.6,-0.7,1,0,0,0,0,"US",331066000,0,3939780.81319133,1351187.07870938,6032880.38034712
"3","US",2019-10-06,"Beverages","Carbonated non-alcoholic",735071266,731136055,314494539,325449264,2366261884,2453035218,5.6,5.7,0.5,-3.4,-3.5,-1.1,0,0,0,"US",331066000,0,222031.639008536,94994.5143868594,714740.228232437
"4","US",2019-10-06,"Beverages","Fruit drinks and non-carbonated sugary",729071094,686222934,310128337,296950839,10671544289,10277669482,5.6,5.3,6.2,4.4,3.8,4.5,0,0,0,"US",331066000,0,220219.259603825,93675.6830964219,3223388.77716226
"5","US",2019-10-06,"Beverages","Other",227199281,228647614,36083021,36681533,83011507,82941692,1.7,1.8,-0.6,-1.6,0.1,-2.2,0,0,0,"US",331066000,0,68626.5823128923,10899.0415808328,25074.0054853111
"6","US",2019-10-06,"Beverages","Water",357770213,337989269,166396556,161682013,189928596,180617417,2.7,2.6,5.9,2.9,5.2,4.1,0,0,0,"US",331066000,0,108066.129714317,50260.8410407592,57368.8013870346
"7","US",2019-10-06,"Commercially prepared items","Not sweet canned (soups, sauces, etc)",223414739,221200339,96203632,96128263,111630030,111297646,1.7,1.7,1,0.1,0.3,-0.6,0,0,0,"US",331066000,0,67483.4440866776,29058.7471984438,33718.3612935185
"8","US",2019-10-06,"Commercially prepared items","Not sweet frozen (pizzas, french fries, fish sticks and entrees)",448957884,447017919,136514043,138515297,129682752,131560880,3.4,3.5,0.4,-1.4,-1.4,-1.2,0,0,0,"US",331066000,0,135609.782943582,41234.6912700187,39171.268568805
"9","US",2019-10-06,"Commercially prepared items","Not sweet packaged/Meals and sides",841269130,820780128,306385414,307720818,221159831,222973614,6.4,6.4,2.5,-0.4,-0.8,0.8,0,0,0,"US",331066000,0,254109.189708397,92545.1160795733,66802.3388085759
"10","US",2019-10-06,"Commercially prepared items","Not sweet packaged/Snacks",842920090,825260550,316961625,322154166,164050026,161902600,6.5,6.4,2.1,-1.6,1.3,0.5,0,0,0,"US",331066000,0,254607.869729903,95739.7090006222,49552.0609183667
