"Region","year","month","population","population_last_month","population_last_year"
"US",2018,1,327969000,327969000,NA
"US",2018,2,328085000,327969000,NA
"US",2018,3,328219000,328085000,NA
"US",2018,4,328364000,328219000,NA
"US",2018,5,328521000,328364000,NA
"US",2018,6,328692000,328521000,NA
"US",2018,7,328863000,328692000,NA
"US",2018,8,329040000,328863000,NA
"US",2018,9,329216000,329040000,NA
"US",2018,10,329379000,329216000,NA
"US",2018,11,329527000,329379000,NA
"US",2018,12,329659000,329527000,NA
"US",2019,1,329766000,329659000,327969000
"US",2019,2,329862000,329766000,328085000
"US",2019,3,329977000,329862000,328219000
"US",2019,4,330103000,329977000,328364000
"US",2019,5,330240000,330103000,328521000
"US",2019,6,330393000,330240000,328692000
"US",2019,7,330553000,330393000,328863000
"US",2019,8,330729000,330553000,329040000
"US",2019,9,330904000,330729000,329216000
"US",2019,10,331066000,330904000,329379000
"US",2019,11,331213000,331066000,329527000
"US",2019,12,331345000,331213000,329659000
"US",2020,1,331443000,331345000,329766000
"US",2020,2,331525000,331443000,329862000
"US",2020,3,331634000,331525000,329977000
"US",2020,4,331684000,331634000,330103000
"US",2020,5,331685000,331684000,330240000
"US",2020,6,331728000,331685000,330393000
"US",2020,7,331795000,331728000,330553000
"US",2020,8,331870000,331795000,330729000
"US",2020,9,331950000,331870000,330904000
"US",2020,10,332025000,331950000,331066000
"US",2020,11,332063000,332025000,331213000
"US",2020,12,332047000,332063000,331345000
"US",2021,1,331992000,332047000,331443000
"US",2021,2,331968000,331992000,331525000
"US",2021,3,332007000,331968000,331634000
"US",2021,4,332073000,332007000,331684000
"US",2021,5,332144000,332073000,331685000
"US",2021,6,332231000,332144000,331728000
"US",2021,7,332358000,332231000,331795000
"US",2021,8,332489000,332358000,331870000
"US",2021,9,332594000,332489000,331950000
"US",2021,10,332692000,332594000,332025000
"US",2021,11,332790000,332692000,332063000
"US",2021,12,332876000,332790000,332047000
"US",2022,1,332918000,332876000,331992000
"US",2022,2,332959000,332918000,331968000
"US",2022,3,333056000,332959000,332007000
"US",2022,4,333184000,333056000,332073000
"US",2022,5,333317000,333184000,332144000
"US",2022,6,333460000,333317000,332231000
"US",2022,7,333624000,333460000,332358000
"US",2022,8,333799000,333624000,332489000
"US",2022,9,333976000,333799000,332594000
"US",2022,10,334141000,333976000,332692000
"US",2022,11,334287000,334141000,332790000
"US",2022,12,334420000,334287000,332876000
